type,job,job_require,course_acquire,course,path
single_hop_synonym,Fullstack (FinTech) #1,Git,Git,SF222,"['Fullstack (FinTech) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Git,Git,CN310,"['Fullstack (FinTech) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,Docker,Docker,SF230,"['Fullstack (FinTech) #1', 'require>', 'Docker', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Docker,Docker,CN310,"['Fullstack (FinTech) #1', 'require>', 'Docker', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,Kubernetes,Kubernetes,CN310,"['Fullstack (FinTech) #1', 'require>', 'Kubernetes', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,NoSQL,NoSQL,SF230,"['Fullstack (FinTech) #1', 'require>', 'NoSQL', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,NoSQL,NoSQL,CN351,"['Fullstack (FinTech) #1', 'require>', 'NoSQL', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,iOS,iOS,CN311,"['Fullstack (FinTech) #1', 'require>', 'iOS', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #1,Android,Android,CN311,"['Fullstack (FinTech) #1', 'require>', 'Android', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #1,JavaScript,JavaScript,CN351,"['Fullstack (FinTech) #1', 'require>', 'JavaScript', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,JavaScript,JavaScript,SF220,"['Fullstack (FinTech) #1', 'require>', 'JavaScript', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #2,Application Programs,Application Programs,CN311,"['Fullstack (Bank) #2', 'require>', 'Application Programs', 'include<', 'CN311']"
single_hop_synonym,Fullstack (Bank) #2,Deployment,Deployment,SF222,"['Fullstack (Bank) #2', 'require>', 'Deployment', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #2,Deployment,Deployment,SF220,"['Fullstack (Bank) #2', 'require>', 'Deployment', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #2,Testing,Testing,SF210,"['Fullstack (Bank) #2', 'require>', 'Testing', 'include<', 'SF210']"
single_hop_synonym,Fullstack (Bank) #2,Testing,Testing,SF220,"['Fullstack (Bank) #2', 'require>', 'Testing', 'include<', 'SF220']"
single_hop_synonym,Fullstack (Bank) #2,Kubernetes,Kubernetes,CN310,"['Fullstack (Bank) #2', 'require>', 'Kubernetes', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #2,Java,Java,CN311,"['Fullstack (Bank) #2', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Fullstack (Bank) #2,Java,Java,SF212,"['Fullstack (Bank) #2', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Fullstack (Bank) #2,Java,Java,SF211,"['Fullstack (Bank) #2', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Fullstack (Bank) #2,System Analysis,System Analysis,SF222,"['Fullstack (Bank) #2', 'require>', 'System Analysis', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #2,System Analysis,System Analysis,SF220,"['Fullstack (Bank) #2', 'require>', 'System Analysis', 'include<', 'SF220']"
single_hop_synonym,QA (FinTech) #1,Digital Transformation,Digital Transformation,SF220,"['QA (FinTech) #1', 'require>', 'Digital Transformation', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Web applications,Web applications,SF220,"['Frontend (Consult) #1', 'require>', 'Web applications', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Programming Language,Programming Language,SF210,"['Frontend (Consult) #1', 'require>', 'Programming Language', 'include<', 'SF210']"
single_hop_synonym,Frontend (Consult) #1,Programming Language,Programming Language,SF211,"['Frontend (Consult) #1', 'require>', 'Programming Language', 'include<', 'SF211']"
single_hop_synonym,Frontend (Consult) #1,JavaScript,JavaScript,CN351,"['Frontend (Consult) #1', 'require>', 'JavaScript', 'include<', 'CN351']"
single_hop_synonym,Frontend (Consult) #1,JavaScript,JavaScript,SF220,"['Frontend (Consult) #1', 'require>', 'JavaScript', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Software Development,Software Development,SF220,"['Frontend (Consult) #1', 'require>', 'Software Development', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Software Development,Software Development,SF222,"['Frontend (Consult) #1', 'require>', 'Software Development', 'include<', 'SF222']"
single_hop_synonym,Frontend (Consult) #1,Software Development,Software Development,SF230,"['Frontend (Consult) #1', 'require>', 'Software Development', 'include<', 'SF230']"
single_hop_synonym,Frontend (Consult) #1,Software Development,Software Development,SF210,"['Frontend (Consult) #1', 'require>', 'Software Development', 'include<', 'SF210']"
single_hop_synonym,Frontend (Consult) #1,Scrum,Scrum,SF220,"['Frontend (Consult) #1', 'require>', 'Scrum', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Deployment,Deployment,SF222,"['Frontend (Consult) #1', 'require>', 'Deployment', 'include<', 'SF222']"
single_hop_synonym,Frontend (Consult) #1,Deployment,Deployment,SF220,"['Frontend (Consult) #1', 'require>', 'Deployment', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Git,Git,SF222,"['Frontend (Consult) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Frontend (Consult) #1,Git,Git,CN310,"['Frontend (Consult) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Frontend (Consult) #1,Version Control,Version Control,SF222,"['Frontend (Consult) #1', 'require>', 'Version Control', 'include<', 'SF222']"
single_hop_synonym,Frontend (Consult) #1,Software Testing,Software Testing,SF220,"['Frontend (Consult) #1', 'require>', 'Software Testing', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,RESTful APIs,RESTful APIs,SF220,"['Frontend (Consult) #1', 'require>', 'RESTful APIs', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,Figma,Figma,SF222,"['Frontend (Consult) #1', 'require>', 'Figma', 'include<', 'SF222']"
single_hop_synonym,Frontend (Consult) #1,Prototyping,Prototyping,SF220,"['Frontend (Consult) #1', 'require>', 'Prototyping', 'include<', 'SF220']"
single_hop_synonym,Frontend (Consult) #1,UI,UI,SF222,"['Frontend (Consult) #1', 'require>', 'UI', 'include<', 'SF222']"
